area,ethnicity,age_group,sex,value
Otago,Maori/Asian,10-14,F,3
Otago,Pacific Peoples/Asian,10-14,F,3
Otago,Asian/MELAA,10-14,F,3
Otago,Asian/Other Ethnicity,10-14,F,3
Otago,European/Maori/Pacific Peoples,10-14,M,27
Otago,European/Maori/Pacific Peoples,10-14,F,27
Otago,European/Maori/Asian,10-14,M,3
Otago,European/Maori/Asian,10-14,F,9
Otago,European/Maori/MELAA,10-14,M,3
Otago,European/Maori/Other Ethnicity,10-14,M,3
Otago,Pacific Peoples/European/Asian,10-14,M,6
Otago,Pacific Peoples/European/Asian,10-14,F,3
Otago,Four ethnic groups,10-14,M,3
Otago,Four ethnic groups,10-14,F,3
Otago,Not Elsewhere Included,10-14,M,267
Otago,Not Elsewhere Included,10-14,F,219
Southland,European,10-14,M,2205
Southland,European,10-14,F,2127
Southland,Maori,10-14,M,216
Southland,Maori,10-14,F,213
Southland,Pacific Peoples,10-14,M,27
Southland,Pacific Peoples,10-14,F,42
Southland,Asian,10-14,M,72
Southland,Asian,10-14,F,78
Southland,MELAA,10-14,M,9
Southland,MELAA,10-14,F,9
Southland,Other,10-14,M,72
Southland,Other,10-14,F,45
Southland,European/Maori,10-14,M,384
Southland,European/Maori,10-14,F,381
Southland,European/Pacific Peoples,10-14,M,42
Southland,European/Pacific Peoples,10-14,F,39
Southland,European/Asian,10-14,M,15
Southland,European/Asian,10-14,F,9
Southland,European/Other Ethnicity,10-14,M,3
Southland,Maori/Pacific Peoples,10-14,M,12
Southland,Maori/Pacific Peoples,10-14,F,12
Southland,Maori/Other Ethnicity,10-14,M,3
Southland,Maori/Other Ethnicity,10-14,F,3
Southland,Pacific Peoples/Asian,10-14,M,3
Southland,European/Maori/Pacific Peoples,10-14,M,30
Southland,European/Maori/Pacific Peoples,10-14,F,30
Southland,European/Maori/Asian,10-14,M,9
Southland,European/Maori/Asian,10-14,F,3
Southland,European/Maori/MELAA,10-14,M,3
Southland,European/Maori/Other Ethnicity,10-14,M,3
Southland,Four ethnic groups,10-14,F,6
Southland,Not Elsewhere Included,10-14,M,126
Southland,Not Elsewhere Included,10-14,F,108
Area Outside,European/Maori,10-14,M,9
Area Outside,European/Maori,10-14,F,6
Northland,European,15-19,M,2175
Northland,European,15-19,F,1971
Northland,Maori,15-19,M,1056
Northland,Maori,15-19,F,996
Northland,Pacific Peoples,15-19,M,48
Northland,Pacific Peoples,15-19,F,63
Northland,Asian,15-19,M,108
Northland,Asian,15-19,F,60
Northland,MELAA,15-19,M,9
Northland,MELAA,15-19,F,12
Northland,Other,15-19,M,39
Northland,Other,15-19,F,27
Northland,European/Maori,15-19,M,831
Northland,European/Maori,15-19,F,822
Northland,European/Pacific Peoples,15-19,M,42
Northland,European/Pacific Peoples,15-19,F,45
Northland,European/Asian,15-19,M,21
Northland,European/Asian,15-19,F,15
Northland,European/MELAA,15-19,M,6
Northland,European/MELAA,15-19,F,3
Northland,European/Other Ethnicity,15-19,M,3
Northland,Maori/Pacific Peoples,15-19,M,63
Northland,Maori/Pacific Peoples,15-19,F,60
Northland,Maori/Asian,15-19,M,6
Northland,Maori/Asian,15-19,F,6
Northland,Maori/MELAA,15-19,M,3
Northland,Maori/Other Ethnicity,15-19,F,3
Northland,Pacific Peoples/Asian,15-19,F,3
Northland,European/Maori/Pacific Peoples,15-19,M,75
Northland,European/Maori/Pacific Peoples,15-19,F,72
Northland,European/Maori/Asian,15-19,M,12
Northland,European/Maori/Asian,15-19,F,6
Northland,European/Maori/MELAA,15-19,M,6
Northland,European/Maori/MELAA,15-19,F,3
Northland,European/Maori/Other Ethnicity,15-19,M,3
Northland,European/MELAA/Other Ethnicity,15-19,M,3
Northland,Pacific Peoples/European/Asian,15-19,M,6
Northland,Maori/Pacific Peoples/Asian,15-19,M,3
Northland,Maori/Pacific Peoples/Asian,15-19,F,3
Northland,Four ethnic groups,15-19,M,3
Northland,Four ethnic groups,15-19,F,3
Northland,Not Elsewhere Included,15-19,M,480
Northland,Not Elsewhere Included,15-19,F,447
Auckland,European,15-19,M,20037
Auckland,European,15-19,F,19416
Auckland,Maori,15-19,M,2520
Auckland,Maori,15-19,F,2376
Auckland,Pacific Peoples,15-19,M,7053
Auckland,Pacific Peoples,15-19,F,7263
Auckland,Asian,15-19,M,11376
Auckland,Asian,15-19,F,10719
Auckland,MELAA,15-19,M,873
Auckland,MELAA,15-19,F,849
Auckland,Other,15-19,M,294
Auckland,Other,15-19,F,192
Auckland,European/Maori,15-19,M,2895
Auckland,European/Maori,15-19,F,3096
Auckland,European/Pacific Peoples,15-19,M,1167
Auckland,European/Pacific Peoples,15-19,F,1167
Auckland,European/Asian,15-19,M,483
Auckland,European/Asian,15-19,F,483
Auckland,European/MELAA,15-19,M,78
Auckland,European/MELAA,15-19,F,69
Auckland,European/Other Ethnicity,15-19,M,39
Auckland,European/Other Ethnicity,15-19,F,21
Auckland,Maori/Pacific Peoples,15-19,M,780
Auckland,Maori/Pacific Peoples,15-19,F,774
Auckland,Maori/Asian,15-19,M,51
Auckland,Maori/Asian,15-19,F,48
Auckland,Maori/MELAA,15-19,M,9
Auckland,Maori/MELAA,15-19,F,6
Auckland,Maori/Other Ethnicity,15-19,M,3
Auckland,Maori/Other Ethnicity,15-19,F,3
Auckland,Pacific Peoples/Asian,15-19,M,237
Auckland,Pacific Peoples/Asian,15-19,F,198
Auckland,Pacific Peoples/MELAA,15-19,M,12
Auckland,Pacific Peoples/MELAA,15-19,F,6
Auckland,Pacific Peoples/Other Ethnicity,15-19,M,6
Auckland,Pacific Peoples/Other Ethnicity,15-19,F,12
Auckland,Asian/MELAA,15-19,M,15
Auckland,Asian/MELAA,15-19,F,12
Auckland,Asian/Other Ethnicity,15-19,M,48
Auckland,Asian/Other Ethnicity,15-19,F,36
Auckland,MELAA/Other Ethnicity,15-19,M,3
Auckland,MELAA/Other Ethnicity,15-19,F,3
Auckland,European/Maori/Pacific Peoples,15-19,M,681
Auckland,European/Maori/Pacific Peoples,15-19,F,651
Auckland,European/Maori/Asian,15-19,M,69
Auckland,European/Maori/Asian,15-19,F,96
Auckland,European/Maori/MELAA,15-19,M,21
Auckland,European/Maori/MELAA,15-19,F,9
Auckland,European/Maori/Other Ethnicity,15-19,M,15
Auckland,European/Maori/Other Ethnicity,15-19,F,12
Auckland,European/MELAA/Other Ethnicity,15-19,M,3
Auckland,Pacific Peoples/European/Asian,15-19,M,54
Auckland,Pacific Peoples/European/Asian,15-19,F,60
Auckland,Pacific Peoples/European/MELAA,15-19,M,3
Auckland,Pacific Peoples/European/MELAA,15-19,F,6
Auckland,Pacific Peoples/European/Other Ethnicity,15-19,F,3
Auckland,Asian/MELAA/European,15-19,M,3
Auckland,Asian/MELAA/European,15-19,F,3
Auckland,Asian/European/Other Ethnicity,15-19,M,3
Auckland,Maori/Pacific Peoples/Asian,15-19,M,42
Auckland,Maori/Pacific Peoples/Asian,15-19,F,33
Auckland,Maori/Pacific Peoples/MELAA,15-19,M,3
Auckland,Maori/Pacific Peoples/MELAA,15-19,F,3
Auckland,Maori/Asian/MELAA,15-19,F,3
Auckland,Pacific Peoples/Maori/Other Ethnicity,15-19,M,3
Auckland,Asian/Pacific Peoples/MELAA,15-19,F,3
Auckland,Four ethnic groups,15-19,M,60
Auckland,Four ethnic groups,15-19,F,54
Auckland,Five ethnic groups,15-19,F,3
Auckland,Not Elsewhere Included,15-19,M,3168
Auckland,Not Elsewhere Included,15-19,F,3120
Waikato,European,15-19,M,7980
Waikato,European,15-19,F,7476
Waikato,Maori,15-19,M,1998
Waikato,Maori,15-19,F,1956
Waikato,Pacific Peoples,15-19,M,327
Waikato,Pacific Peoples,15-19,F,291
Waikato,Asian,15-19,M,885
Waikato,Asian,15-19,F,741
Waikato,MELAA,15-19,M,141
Waikato,MELAA,15-19,F,126
Waikato,Other,15-19,M,135
Waikato,Other,15-19,F,90
Waikato,European/Maori,15-19,M,1719
Waikato,European/Maori,15-19,F,1716
Waikato,European/Pacific Peoples,15-19,M,132
Waikato,European/Pacific Peoples,15-19,F,126
Waikato,European/Asian,15-19,M,84
Waikato,European/Asian,15-19,F,105
Waikato,European/MELAA,15-19,M,24
Waikato,European/MELAA,15-19,F,12
Waikato,European/Other Ethnicity,15-19,M,12
Waikato,European/Other Ethnicity,15-19,F,6
Waikato,Maori/Pacific Peoples,15-19,M,150
Waikato,Maori/Pacific Peoples,15-19,F,132
Waikato,Maori/Asian,15-19,M,15
Waikato,Maori/Asian,15-19,F,9
Waikato,Maori/MELAA,15-19,F,3
Waikato,Maori/Other Ethnicity,15-19,F,3
Waikato,Pacific Peoples/Asian,15-19,M,12
Waikato,Pacific Peoples/Asian,15-19,F,12
Waikato,Asian/Other Ethnicity,15-19,M,3
Waikato,Asian/Other Ethnicity,15-19,F,6
Waikato,European/Maori/Pacific Peoples,15-19,M,147
Waikato,European/Maori/Pacific Peoples,15-19,F,168
Waikato,European/Maori/Asian,15-19,M,39
Waikato,European/Maori/Asian,15-19,F,27
Waikato,European/Maori/MELAA,15-19,M,3
Waikato,European/Maori/Other Ethnicity,15-19,M,3
Waikato,European/Maori/Other Ethnicity,15-19,F,3
Waikato,European/MELAA/Other Ethnicity,15-19,F,3
Waikato,Pacific Peoples/European/Asian,15-19,M,6
Waikato,Pacific Peoples/European/Asian,15-19,F,3
Waikato,Pacific Peoples/European/MELAA,15-19,F,3
Waikato,Pacific Peoples/European/Other Ethnicity,15-19,M,3
Waikato,Maori/Pacific Peoples/Asian,15-19,M,9
Waikato,Maori/Pacific Peoples/Asian,15-19,F,3
Waikato,Maori/Asian/MELAA,15-19,F,3
Waikato,Four ethnic groups,15-19,M,6
Waikato,Four ethnic groups,15-19,F,6
Waikato,Not Elsewhere Included,15-19,M,834
Waikato,Not Elsewhere Included,15-19,F,783
Bay of Plenty,European,15-19,M,4200
Bay of Plenty,European,15-19,F,3951
Bay of Plenty,Maori,15-19,M,1899
Bay of Plenty,Maori,15-19,F,1644
Bay of Plenty,Pacific Peoples,15-19,M,123
Bay of Plenty,Pacific Peoples,15-19,F,144
Bay of Plenty,Asian,15-19,M,414
Bay of Plenty,Asian,15-19,F,291
Bay of Plenty,MELAA,15-19,M,30
Bay of Plenty,MELAA,15-19,F,24
Bay of Plenty,Other,15-19,M,63
Bay of Plenty,Other,15-19,F,63
Bay of Plenty,European/Maori,15-19,M,1218
Bay of Plenty,European/Maori,15-19,F,1317
Bay of Plenty,European/Pacific Peoples,15-19,M,87
Bay of Plenty,European/Pacific Peoples,15-19,F,63
Bay of Plenty,European/Asian,15-19,M,57
Bay of Plenty,European/Asian,15-19,F,36
Bay of Plenty,European/MELAA,15-19,M,6
Bay of Plenty,European/MELAA,15-19,F,6
Bay of Plenty,European/Other Ethnicity,15-19,M,6
Bay of Plenty,European/Other Ethnicity,15-19,F,3
Bay of Plenty,Maori/Pacific Peoples,15-19,M,93
Bay of Plenty,Maori/Pacific Peoples,15-19,F,90
Bay of Plenty,Maori/Asian,15-19,M,12
Bay of Plenty,Maori/Asian,15-19,F,15
Bay of Plenty,Maori/Other Ethnicity,15-19,F,6
Bay of Plenty,Pacific Peoples/Asian,15-19,F,3
Bay of Plenty,Asian/MELAA,15-19,F,3
Bay of Plenty,Asian/Other Ethnicity,15-19,F,3
Bay of Plenty,European/Maori/Pacific Peoples,15-19,M,75
Bay of Plenty,European/Maori/Pacific Peoples,15-19,F,84
Bay of Plenty,European/Maori/Asian,15-19,M,24
Bay of Plenty,European/Maori/Asian,15-19,F,24
Bay of Plenty,European/Maori/MELAA,15-19,M,3
Bay of Plenty,European/Maori/MELAA,15-19,F,6
Bay of Plenty,European/Maori/Other Ethnicity,15-19,M,3
Bay of Plenty,European/Maori/Other Ethnicity,15-19,F,3
Bay of Plenty,Pacific Peoples/European/Asian,15-19,M,3
Bay of Plenty,Pacific Peoples/European/MELAA,15-19,F,3
Bay of Plenty,Maori/Pacific Peoples/Asian,15-19,M,3
Bay of Plenty,Four ethnic groups,15-19,M,9
Bay of Plenty,Four ethnic groups,15-19,F,12
Bay of Plenty,Not Elsewhere Included,15-19,M,618
Bay of Plenty,Not Elsewhere Included,15-19,F,627
Gisborne,European,15-19,M,498
Gisborne,European,15-19,F,447
Gisborne,Maori,15-19,M,555
Gisborne,Maori,15-19,F,567
Gisborne,Pacific Peoples,15-19,M,27
Gisborne,Pacific Peoples,15-19,F,33
Gisborne,Asian,15-19,M,18
Gisborne,Asian,15-19,F,12
Gisborne,MELAA,15-19,F,3
Gisborne,Other,15-19,M,9
Gisborne,Other,15-19,F,3
Gisborne,European/Maori,15-19,M,273
Gisborne,European/Maori,15-19,F,252
Gisborne,European/Pacific Peoples,15-19,M,6
Gisborne,European/Pacific Peoples,15-19,F,6
Gisborne,European/Asian,15-19,M,3
Gisborne,European/Asian,15-19,F,3
Gisborne,Maori/Pacific Peoples,15-19,M,24
Gisborne,Maori/Pacific Peoples,15-19,F,21
Gisborne,Maori/Asian,15-19,M,3
Gisborne,Maori/Asian,15-19,F,9
Gisborne,Maori/MELAA,15-19,F,3
Gisborne,European/Maori/Pacific Peoples,15-19,M,18
Gisborne,European/Maori/Pacific Peoples,15-19,F,15
Gisborne,European/Maori/Asian,15-19,M,6
Gisborne,European/Maori/Asian,15-19,F,3
Gisborne,European/Maori/MELAA,15-19,M,3
Gisborne,Four ethnic groups,15-19,M,3
Gisborne,Four ethnic groups,15-19,F,3
Gisborne,Not Elsewhere Included,15-19,M,123
Gisborne,Not Elsewhere Included,15-19,F,108
Hawke's Bay,European,15-19,M,2781
Hawke's Bay,European,15-19,F,2469
Hawke's Bay,Maori,15-19,M,948
Hawke's Bay,Maori,15-19,F,840
Hawke's Bay,Pacific Peoples,15-19,M,186
Hawke's Bay,Pacific Peoples,15-19,F,165
Hawke's Bay,Asian,15-19,M,150
Hawke's Bay,Asian,15-19,F,108
Hawke's Bay,MELAA,15-19,M,12
Hawke's Bay,MELAA,15-19,F,12
Hawke's Bay,Other,15-19,M,48
Hawke's Bay,Other,15-19,F,33
Hawke's Bay,European/Maori,15-19,M,612
Hawke's Bay,European/Maori,15-19,F,672
Hawke's Bay,European/Pacific Peoples,15-19,M,45
Hawke's Bay,European/Pacific Peoples,15-19,F,36
Hawke's Bay,European/Asian,15-19,M,30
Hawke's Bay,European/Asian,15-19,F,18
Hawke's Bay,European/MELAA,15-19,F,3
Hawke's Bay,European/Other Ethnicity,15-19,M,6
Hawke's Bay,European/Other Ethnicity,15-19,F,3
Hawke's Bay,Maori/Pacific Peoples,15-19,M,45
Hawke's Bay,Maori/Pacific Peoples,15-19,F,36
Hawke's Bay,Maori/Asian,15-19,M,6
Hawke's Bay,Maori/Asian,15-19,F,15
Hawke's Bay,Maori/MELAA,15-19,M,3
Hawke's Bay,Maori/Other Ethnicity,15-19,M,3
Hawke's Bay,Maori/Other Ethnicity,15-19,F,3
Hawke's Bay,Pacific Peoples/Asian,15-19,F,6
Hawke's Bay,Pacific Peoples/Other Ethnicity,15-19,F,3
Hawke's Bay,European/Maori/Pacific Peoples,15-19,M,51
Hawke's Bay,European/Maori/Pacific Peoples,15-19,F,45
Hawke's Bay,European/Maori/Asian,15-19,M,12
Hawke's Bay,European/Maori/Asian,15-19,F,15
Hawke's Bay,European/Maori/MELAA,15-19,M,3
Hawke's Bay,European/Maori/Other Ethnicity,15-19,M,6
Hawke's Bay,Pacific Peoples/European/Asian,15-19,F,3
Hawke's Bay,Pacific Peoples/European/MELAA,15-19,F,3
Hawke's Bay,Not Elsewhere Included,15-19,M,309
Hawke's Bay,Not Elsewhere Included,15-19,F,345
Taranaki,European,15-19,M,2271
Taranaki,European,15-19,F,2121
Taranaki,Maori,15-19,M,363
Taranaki,Maori,15-19,F,297
Taranaki,Pacific Peoples,15-19,M,27
Taranaki,Pacific Peoples,15-19,F,24
Taranaki,Asian,15-19,M,93
Taranaki,Asian,15-19,F,99
Taranaki,MELAA,15-19,M,12
Taranaki,MELAA,15-19,F,6
Taranaki,Other,15-19,M,39
Taranaki,Other,15-19,F,27
Taranaki,European/Maori,15-19,M,450
Taranaki,European/Maori,15-19,F,477
Taranaki,European/Pacific Peoples,15-19,M,21
Taranaki,European/Pacific Peoples,15-19,F,18
Taranaki,European/Asian,15-19,M,9
Taranaki,European/Asian,15-19,F,9
Taranaki,European/MELAA,15-19,F,3
Taranaki,European/Other Ethnicity,15-19,M,6
Taranaki,European/Other Ethnicity,15-19,F,3
Taranaki,Maori/Pacific Peoples,15-19,M,18
Taranaki,Maori/Pacific Peoples,15-19,F,12
Taranaki,Maori/Asian,15-19,M,3
Taranaki,Pacific Peoples/Asian,15-19,F,6
Taranaki,MELAA/Other Ethnicity,15-19,M,3
Taranaki,European/Maori/Pacific Peoples,15-19,M,24
Taranaki,European/Maori/Pacific Peoples,15-19,F,18
Taranaki,European/Maori/Asian,15-19,M,6
Taranaki,European/Maori/Asian,15-19,F,6
Taranaki,European/Maori/MELAA,15-19,F,3
Taranaki,European/Maori/Other Ethnicity,15-19,M,3
Taranaki,European/Maori/Other Ethnicity,15-19,F,3
Taranaki,Pacific Peoples/European/Asian,15-19,M,3
Taranaki,Pacific Peoples/European/Asian,15-19,F,3
Taranaki,Maori/Pacific Peoples/Asian,15-19,M,3
Taranaki,Pacific Peoples/Maori/Other Ethnicity,15-19,F,3
Taranaki,Four ethnic groups,15-19,M,3
Taranaki,Not Elsewhere Included,15-19,M,186
Taranaki,Not Elsewhere Included,15-19,F,165
Manawatu-Wanganui,European,15-19,M,4590
Manawatu-Wanganui,European,15-19,F,4512
Manawatu-Wanganui,Maori,15-19,M,1005
Manawatu-Wanganui,Maori,15-19,F,828
Manawatu-Wanganui,Pacific Peoples,15-19,M,150
Manawatu-Wanganui,Pacific Peoples,15-19,F,171
Manawatu-Wanganui,Asian,15-19,M,375
Manawatu-Wanganui,Asian,15-19,F,357
Manawatu-Wanganui,MELAA,15-19,M,48
Manawatu-Wanganui,MELAA,15-19,F,33
Manawatu-Wanganui,Other,15-19,M,72
Manawatu-Wanganui,Other,15-19,F,57
Manawatu-Wanganui,European/Maori,15-19,M,1095
Manawatu-Wanganui,European/Maori,15-19,F,1221
Manawatu-Wanganui,European/Pacific Peoples,15-19,M,96
Manawatu-Wanganui,European/Pacific Peoples,15-19,F,84
Manawatu-Wanganui,European/Asian,15-19,M,45
Manawatu-Wanganui,European/Asian,15-19,F,48
Manawatu-Wanganui,European/MELAA,15-19,M,15
Manawatu-Wanganui,European/MELAA,15-19,F,9
Manawatu-Wanganui,European/Other Ethnicity,15-19,M,9
Manawatu-Wanganui,European/Other Ethnicity,15-19,F,3
Manawatu-Wanganui,Maori/Pacific Peoples,15-19,M,54
Manawatu-Wanganui,Maori/Pacific Peoples,15-19,F,66
Manawatu-Wanganui,Maori/Asian,15-19,M,9
Manawatu-Wanganui,Maori/Asian,15-19,F,9
Manawatu-Wanganui,Maori/Other Ethnicity,15-19,M,3
Manawatu-Wanganui,Pacific Peoples/Asian,15-19,M,3
Manawatu-Wanganui,Pacific Peoples/Asian,15-19,F,3
Manawatu-Wanganui,Pacific Peoples/MELAA,15-19,M,3
Manawatu-Wanganui,Pacific Peoples/Other Ethnicity,15-19,F,3
Manawatu-Wanganui,Asian/Other Ethnicity,15-19,M,3
Manawatu-Wanganui,Asian/Other Ethnicity,15-19,F,3
Manawatu-Wanganui,European/Maori/Pacific Peoples,15-19,M,60
Manawatu-Wanganui,European/Maori/Pacific Peoples,15-19,F,72
Manawatu-Wanganui,European/Maori/Asian,15-19,M,21
Manawatu-Wanganui,European/Maori/Asian,15-19,F,30
Manawatu-Wanganui,European/Maori/MELAA,15-19,M,3
Manawatu-Wanganui,European/Maori/MELAA,15-19,F,3
Manawatu-Wanganui,European/Maori/Other Ethnicity,15-19,M,3
Manawatu-Wanganui,European/Maori/Other Ethnicity,15-19,F,3
Manawatu-Wanganui,Pacific Peoples/European/Asian,15-19,M,3
Manawatu-Wanganui,Pacific Peoples/European/Asian,15-19,F,12
Manawatu-Wanganui,Asian/MELAA/European,15-19,M,3
Manawatu-Wanganui,Four ethnic groups,15-19,M,3
Manawatu-Wanganui,Four ethnic groups,15-19,F,3
Manawatu-Wanganui,Not Elsewhere Included,15-19,M,411
Manawatu-Wanganui,Not Elsewhere Included,15-19,F,411
Wellington,European,15-19,M,9225
Wellington,European,15-19,F,9342
Wellington,Maori,15-19,M,996
Wellington,Maori,15-19,F,888
Wellington,Pacific Peoples,15-19,M,1131
Wellington,Pacific Peoples,15-19,F,1104
Wellington,Asian,15-19,M,1371
Wellington,Asian,15-19,F,1287
Wellington,MELAA,15-19,M,213
Wellington,MELAA,15-19,F,216
Wellington,Other,15-19,M,135
Wellington,Other,15-19,F,105
Wellington,European/Maori,15-19,M,1395
Wellington,European/Maori,15-19,F,1539
Wellington,European/Pacific Peoples,15-19,M,339
Wellington,European/Pacific Peoples,15-19,F,342
Wellington,European/Asian,15-19,M,180
Wellington,European/Asian,15-19,F,216
Wellington,European/MELAA,15-19,M,27
Wellington,European/MELAA,15-19,F,36
Wellington,European/Other Ethnicity,15-19,M,15
Wellington,European/Other Ethnicity,15-19,F,21
Wellington,Maori/Pacific Peoples,15-19,M,204
Wellington,Maori/Pacific Peoples,15-19,F,174
Wellington,Maori/Asian,15-19,M,12
Wellington,Maori/Asian,15-19,F,15
Wellington,Maori/MELAA,15-19,F,6
Wellington,Maori/Other Ethnicity,15-19,M,6
Wellington,Pacific Peoples/Asian,15-19,M,27
Wellington,Pacific Peoples/Asian,15-19,F,18
Wellington,Pacific Peoples/MELAA,15-19,M,3
Wellington,Asian/MELAA,15-19,M,3
Wellington,Asian/MELAA,15-19,F,3
Wellington,Asian/Other Ethnicity,15-19,M,12
Wellington,Asian/Other Ethnicity,15-19,F,12
Wellington,European/Maori/Pacific Peoples,15-19,M,204
Wellington,European/Maori/Pacific Peoples,15-19,F,186
Wellington,European/Maori/Asian,15-19,M,30
Wellington,European/Maori/Asian,15-19,F,36
Wellington,European/Maori/MELAA,15-19,M,6
Wellington,European/Maori/MELAA,15-19,F,6
Wellington,European/Maori/Other Ethnicity,15-19,M,6
Wellington,European/Maori/Other Ethnicity,15-19,F,3
Wellington,Pacific Peoples/European/Asian,15-19,M,21
Wellington,Pacific Peoples/European/Asian,15-19,F,21
Wellington,Pacific Peoples/European/MELAA,15-19,M,3
Wellington,Pacific Peoples/European/MELAA,15-19,F,3
Wellington,Asian/MELAA/European,15-19,F,3
Wellington,Asian/European/Other Ethnicity,15-19,M,6
Wellington,Asian/European/Other Ethnicity,15-19,F,3
Wellington,Maori/Pacific Peoples/Asian,15-19,M,3
Wellington,Maori/Pacific Peoples/Asian,15-19,F,6
Wellington,Maori/Asian/Other Ethnicity,15-19,M,3
Wellington,Four ethnic groups,15-19,M,15
Wellington,Four ethnic groups,15-19,F,12
Wellington,Not Elsewhere Included,15-19,M,837
Wellington,Not Elsewhere Included,15-19,F,858
Tasman,European,15-19,M,1224
Tasman,European,15-19,F,1002
Tasman,Maori,15-19,M,42
Tasman,Maori,15-19,F,42
Tasman,Pacific Peoples,15-19,M,6
Tasman,Pacific Peoples,15-19,F,3
Tasman,Asian,15-19,M,27
Tasman,Asian,15-19,F,18
Tasman,MELAA,15-19,M,3
Tasman,Other,15-19,M,30
Tasman,Other,15-19,F,9
Tasman,European/Maori,15-19,M,120
Tasman,European/Maori,15-19,F,108
Tasman,European/Pacific Peoples,15-19,M,6
Tasman,European/Pacific Peoples,15-19,F,9
Tasman,European/Asian,15-19,M,3
Tasman,European/Asian,15-19,F,6
Tasman,Maori/Pacific Peoples,15-19,M,3
Tasman,Pacific Peoples/Asian,15-19,F,3
Tasman,European/Maori/Pacific Peoples,15-19,M,6
Tasman,European/Maori/Pacific Peoples,15-19,F,9
Tasman,Four ethnic groups,15-19,M,3
Tasman,Not Elsewhere Included,15-19,M,69
Tasman,Not Elsewhere Included,15-19,F,57
Nelson,European,15-19,M,984
Nelson,European,15-19,F,963
Nelson,Maori,15-19,M,102
Nelson,Maori,15-19,F,69
Nelson,Pacific Peoples,15-19,M,18
Nelson,Pacific Peoples,15-19,F,18
Nelson,Asian,15-19,M,75
Nelson,Asian,15-19,F,63
Nelson,MELAA,15-19,M,6
Nelson,MELAA,15-19,F,3
Nelson,Other,15-19,M,18
Nelson,Other,15-19,F,12
Nelson,European/Maori,15-19,M,120
Nelson,European/Maori,15-19,F,108
Nelson,European/Pacific Peoples,15-19,M,18
Nelson,European/Pacific Peoples,15-19,F,15
Nelson,European/Asian,15-19,M,6
Nelson,European/Asian,15-19,F,9
Nelson,European/MELAA,15-19,M,3
Nelson,European/MELAA,15-19,F,3
Nelson,European/Other Ethnicity,15-19,M,3
Nelson,European/Other Ethnicity,15-19,F,3
Nelson,Maori/Pacific Peoples,15-19,M,3
Nelson,Maori/Pacific Peoples,15-19,F,3
Nelson,Maori/Asian,15-19,F,3
Nelson,European/Maori/Pacific Peoples,15-19,M,3
Nelson,European/Maori/Pacific Peoples,15-19,F,9
Nelson,Not Elsewhere Included,15-19,M,78
Nelson,Not Elsewhere Included,15-19,F,69
Marlborough,European,15-19,M,834
Marlborough,European,15-19,F,786
Marlborough,Maori,15-19,M,87
Marlborough,Maori,15-19,F,60
Marlborough,Pacific Peoples,15-19,M,21
Marlborough,Pacific Peoples,15-19,F,21
Marlborough,Asian,15-19,M,24
Marlborough,Asian,15-19,F,24
Marlborough,MELAA,15-19,M,12
Marlborough,MELAA,15-19,F,6
Marlborough,Other,15-19,M,18
Marlborough,Other,15-19,F,15
Marlborough,European/Maori,15-19,M,120
Marlborough,European/Maori,15-19,F,156
Marlborough,European/Pacific Peoples,15-19,M,6
Marlborough,European/Pacific Peoples,15-19,F,9
Marlborough,European/Asian,15-19,M,6
Marlborough,European/Asian,15-19,F,6
Marlborough,European/Other Ethnicity,15-19,M,6
Marlborough,European/Other Ethnicity,15-19,F,3
Marlborough,Maori/Pacific Peoples,15-19,M,6
Marlborough,Maori/Pacific Peoples,15-19,F,6
Marlborough,Pacific Peoples/Asian,15-19,F,3
Marlborough,European/Maori/Pacific Peoples,15-19,M,3
Marlborough,European/Maori/Pacific Peoples,15-19,F,9
Marlborough,European/Maori/Asian,15-19,F,3
Marlborough,Not Elsewhere Included,15-19,M,63
Marlborough,Not Elsewhere Included,15-19,F,60
West Coast,European,15-19,M,690
West Coast,European,15-19,F,636
West Coast,Maori,15-19,M,51
West Coast,Maori,15-19,F,39
West Coast,Pacific Peoples,15-19,M,3
West Coast,Pacific Peoples,15-19,F,9
West Coast,Asian,15-19,M,9
West Coast,Asian,15-19,F,15
West Coast,MELAA,15-19,M,3
West Coast,MELAA,15-19,F,3
West Coast,Other,15-19,M,21
West Coast,Other,15-19,F,9
West Coast,European/Maori,15-19,M,90
West Coast,European/Maori,15-19,F,96
West Coast,European/Pacific Peoples,15-19,M,3
West Coast,European/Pacific Peoples,15-19,F,6
West Coast,European/Asian,15-19,M,3
West Coast,European/Asian,15-19,F,3
West Coast,European/MELAA,15-19,M,3
West Coast,European/Maori/Pacific Peoples,15-19,M,3
West Coast,European/Maori/Pacific Peoples,15-19,F,3
West Coast,Not Elsewhere Included,15-19,M,69
West Coast,Not Elsewhere Included,15-19,F,60
Canterbury,European,15-19,M,13392
Canterbury,European,15-19,F,12201
Canterbury,Maori,15-19,M,732
Canterbury,Maori,15-19,F,540
Canterbury,Pacific Peoples,15-19,M,369
Canterbury,Pacific Peoples,15-19,F,312
Canterbury,Asian,15-19,M,1305
Canterbury,Asian,15-19,F,1047
Canterbury,MELAA,15-19,M,135
Canterbury,MELAA,15-19,F,120
Canterbury,Other,15-19,M,225
Canterbury,Other,15-19,F,150
Canterbury,European/Maori,15-19,M,1371
Canterbury,European/Maori,15-19,F,1278
