Area,Ethnic groups (detailed),Age group,Sex,Value,Flags
"West Coast Region","Maori/Pacific Peoples/Asian","15-19 Years","Male",0,
"West Coast Region","Maori/Pacific Peoples/Asian","15-19 Years","Female",0,
"West Coast Region","Maori/Pacific Peoples/Middle Eastern/Latin American/African","15-19 Years","Male",0,
"West Coast Region","Maori/Pacific Peoples/Middle Eastern/Latin American/African","15-19 Years","Female",0,
"West Coast Region","Maori/Asian/Middle Eastern/Latin American/African","15-19 Years","Male",0,
"West Coast Region","Maori/Asian/Middle Eastern/Latin American/African","15-19 Years","Female",0,
"West Coast Region","Maori/Asian/Other Ethnicity","15-19 Years","Male",0,
"West Coast Region","Maori/Asian/Other Ethnicity","15-19 Years","Female",0,
"West Coast Region","Maori/Middle Eastern/Latin American/African/Other Ethnicity","15-19 Years","Male",0,
"West Coast Region","Maori/Middle Eastern/Latin American/African/Other Ethnicity","15-19 Years","Female",0,
"West Coast Region","Pacific Peoples/Maori/Other Ethnicity","15-19 Years","Male",0,
"West Coast Region","Pacific Peoples/Maori/Other Ethnicity","15-19 Years","Female",0,
"West Coast Region","Pacific Peoples/Middle Eastern/Latin American/African/Other Ethnicity","15-19 Years","Male",0,
"West Coast Region","Pacific Peoples/Middle Eastern/Latin American/African/Other Ethnicity","15-19 Years","Female",0,
"West Coast Region","Asian/Pacific Peoples/Middle Eastern/Latin American/African","15-19 Years","Male",0,
"West Coast Region","Asian/Pacific Peoples/Middle Eastern/Latin American/African","15-19 Years","Female",0,
"West Coast Region","Asian/Pacific Peoples/Other Ethnicity","15-19 Years","Male",0,
"West Coast Region","Asian/Pacific Peoples/Other Ethnicity","15-19 Years","Female",0,
"West Coast Region","Asian/Middle Eastern/Latin American/African/Other Ethnicity","15-19 Years","Male",0,
"West Coast Region","Asian/Middle Eastern/Latin American/African/Other Ethnicity","15-19 Years","Female",0,
"West Coast Region","Four ethnic groups","15-19 Years","Male",0,
"West Coast Region","Four ethnic groups","15-19 Years","Female",0,
"West Coast Region","Five ethnic groups","15-19 Years","Male",0,
"West Coast Region","Five ethnic groups","15-19 Years","Female",0,
"West Coast Region","Six ethnic groups","15-19 Years","Male",0,
"West Coast Region","Six ethnic groups","15-19 Years","Female",0,
"West Coast Region","Not Elsewhere Included","15-19 Years","Male",69,
"West Coast Region","Not Elsewhere Included","15-19 Years","Female",60,
"Canterbury Region","European Only","15-19 Years","Male",13392,
"Canterbury Region","European Only","15-19 Years","Female",12201,
"Canterbury Region","Maori Only","15-19 Years","Male",732,
"Canterbury Region","Maori Only","15-19 Years","Female",540,
"Canterbury Region","Pacific Peoples Only","15-19 Years","Male",369,
"Canterbury Region","Pacific Peoples Only","15-19 Years","Female",312,
"Canterbury Region","Asian Only","15-19 Years","Male",1305,
"Canterbury Region","Asian Only","15-19 Years","Female",1047,
"Canterbury Region","Middle Eastern/Latin American/African Only","15-19 Years","Male",135,
"Canterbury Region","Middle Eastern/Latin American/African Only","15-19 Years","Female",120,
"Canterbury Region","Other Ethnicity Only","15-19 Years","Male",225,
"Canterbury Region","Other Ethnicity Only","15-19 Years","Female",150,
"Canterbury Region","European/Maori","15-19 Years","Male",1371,
"Canterbury Region","European/Maori","15-19 Years","Female",1278,
"Canterbury Region","European/Pacific Peoples","15-19 Years","Male",189,
"Canterbury Region","European/Pacific Peoples","15-19 Years","Female",162,
"Canterbury Region","European/Asian","15-19 Years","Male",147,
"Canterbury Region","European/Asian","15-19 Years","Female",156,
"Canterbury Region","European/Middle Eastern/Latin American/African","15-19 Years","Male",30,
"Canterbury Region","European/Middle Eastern/Latin American/African","15-19 Years","Female",15,
"Canterbury Region","European/Other Ethnicity","15-19 Years","Male",30,
"Canterbury Region","European/Other Ethnicity","15-19 Years","Female",15,
"Canterbury Region","Maori/Pacific Peoples","15-19 Years","Male",60,
"Canterbury Region","Maori/Pacific Peoples","15-19 Years","Female",30,
"Canterbury Region","Maori/Asian","15-19 Years","Male",6,
"Canterbury Region","Maori/Asian","15-19 Years","Female",9,
"Canterbury Region","Maori/Middle Eastern/Latin American/African","15-19 Years","Male",0,
"Canterbury Region","Maori/Middle Eastern/Latin American/African","15-19 Years","Female",0,
"Canterbury Region","Maori/Other Ethnicity","15-19 Years","Male",3,
"Canterbury Region","Maori/Other Ethnicity","15-19 Years","Female",3,
"Canterbury Region","Pacific Peoples/Asian","15-19 Years","Male",6,
"Canterbury Region","Pacific Peoples/Asian","15-19 Years","Female",6,
"Canterbury Region","Pacific Peoples/Middle Eastern/Latin American/African","15-19 Years","Male",0,
"Canterbury Region","Pacific Peoples/Middle Eastern/Latin American/African","15-19 Years","Female",0,
"Canterbury Region","Pacific Peoples/Other Ethnicity","15-19 Years","Male",0,
"Canterbury Region","Pacific Peoples/Other Ethnicity","15-19 Years","Female",3,
"Canterbury Region","Asian/Middle Eastern/Latin American/African","15-19 Years","Male",3,
"Canterbury Region","Asian/Middle Eastern/Latin American/African","15-19 Years","Female",3,
"Canterbury Region","Asian/Other Ethnicity","15-19 Years","Male",6,
"Canterbury Region","Asian/Other Ethnicity","15-19 Years","Female",3,
"Canterbury Region","Middle Eastern/Latin American/African/Other Ethnicity","15-19 Years","Male",3,
"Canterbury Region","Middle Eastern/Latin American/African/Other Ethnicity","15-19 Years","Female",0,
"Canterbury Region","European/Maori/Pacific Peoples","15-19 Years","Male",63,
"Canterbury Region","European/Maori/Pacific Peoples","15-19 Years","Female",87,
"Canterbury Region","European/Maori/Asian","15-19 Years","Male",21,
"Canterbury Region","European/Maori/Asian","15-19 Years","Female",21,
"Canterbury Region","European/Maori/Middle Eastern/Latin American/African","15-19 Years","Male",0,
"Canterbury Region","European/Maori/Middle Eastern/Latin American/African","15-19 Years","Female",3,
"Canterbury Region","European/Maori/Other Ethnicity","15-19 Years","Male",3,
"Canterbury Region","European/Maori/Other Ethnicity","15-19 Years","Female",3,
"Canterbury Region","European/Middle Eastern/Latin American/African/Other Ethnicity","15-19 Years","Male",3,
"Canterbury Region","European/Middle Eastern/Latin American/African/Other Ethnicity","15-19 Years","Female",0,
"Canterbury Region","Pacific Peoples/European/Asian","15-19 Years","Male",9,
"Canterbury Region","Pacific Peoples/European/Asian","15-19 Years","Female",12,
"Canterbury Region","Pacific Peoples/European/Middle Eastern/Latin American/African","15-19 Years","Male",0,
"Canterbury Region","Pacific Peoples/European/Middle Eastern/Latin American/African","15-19 Years","Female",3,
"Canterbury Region","Pacific Peoples/European/Other Ethnicity","15-19 Years","Male",0,
"Canterbury Region","Pacific Peoples/European/Other Ethnicity","15-19 Years","Female",0,
"Canterbury Region","Asian/Middle Eastern/Latin American/African/European","15-19 Years","Male",3,
"Canterbury Region","Asian/Middle Eastern/Latin American/African/European","15-19 Years","Female",0,
"Canterbury Region","Asian/European/Other Ethnicity","15-19 Years","Male",0,
"Canterbury Region","Asian/European/Other Ethnicity","15-19 Years","Female",3,
"Canterbury Region","Maori/Pacific Peoples/Asian","15-19 Years","Male",0,
"Canterbury Region","Maori/Pacific Peoples/Asian","15-19 Years","Female",0,
"Canterbury Region","Maori/Pacific Peoples/Middle Eastern/Latin American/African","15-19 Years","Male",0,
"Canterbury Region","Maori/Pacific Peoples/Middle Eastern/Latin American/African","15-19 Years","Female",0,
"Canterbury Region","Maori/Asian/Middle Eastern/Latin American/African","15-19 Years","Male",0,
"Canterbury Region","Maori/Asian/Middle Eastern/Latin American/African","15-19 Years","Female",0,
"Canterbury Region","Maori/Asian/Other Ethnicity","15-19 Years","Male",0,
"Canterbury Region","Maori/Asian/Other Ethnicity","15-19 Years","Female",0,
"Canterbury Region","Maori/Middle Eastern/Latin American/African/Other Ethnicity","15-19 Years","Male",0,
"Canterbury Region","Maori/Middle Eastern/Latin American/African/Other Ethnicity","15-19 Years","Female",0,
"Canterbury Region","Pacific Peoples/Maori/Other Ethnicity","15-19 Years","Male",0,
"Canterbury Region","Pacific Peoples/Maori/Other Ethnicity","15-19 Years","Female",0,
"Canterbury Region","Pacific Peoples/Middle Eastern/Latin American/African/Other Ethnicity","15-19 Years","Male",0,
"Canterbury Region","Pacific Peoples/Middle Eastern/Latin American/African/Other Ethnicity","15-19 Years","Female",0,
"Canterbury Region","Asian/Pacific Peoples/Middle Eastern/Latin American/African","15-19 Years","Male",0,
"Canterbury Region","Asian/Pacific Peoples/Middle Eastern/Latin American/African","15-19 Years","Female",0,
"Canterbury Region","Asian/Pacific Peoples/Other Ethnicity","15-19 Years","Male",0,
"Canterbury Region","Asian/Pacific Peoples/Other Ethnicity","15-19 Years","Female",0,
"Canterbury Region","Asian/Middle Eastern/Latin American/African/Other Ethnicity","15-19 Years","Male",0,
"Canterbury Region","Asian/Middle Eastern/Latin American/African/Other Ethnicity","15-19 Years","Female",0,
"Canterbury Region","Four ethnic groups","15-19 Years","Male",15,
"Canterbury Region","Four ethnic groups","15-19 Years","Female",3,
"Canterbury Region","Five ethnic groups","15-19 Years","Male",0,
"Canterbury Region","Five ethnic groups","15-19 Years","Female",0,
"Canterbury Region","Six ethnic groups","15-19 Years","Male",0,
"Canterbury Region","Six ethnic groups","15-19 Years","Female",0,
"Canterbury Region","Not Elsewhere Included","15-19 Years","Male",834,
"Canterbury Region","Not Elsewhere Included","15-19 Years","Female",813,
"Otago Region","European Only","15-19 Years","Male",5808,
"Otago Region","European Only","15-19 Years","Female",6117,
"Otago Region","Maori Only","15-19 Years","Male",261,
"Otago Region","Maori Only","15-19 Years","Female",228,
"Otago Region","Pacific Peoples Only","15-19 Years","Male",99,
"Otago Region","Pacific Peoples Only","15-19 Years","Female",120,
"Otago Region","Asian Only","15-19 Years","Male",591,
"Otago Region","Asian Only","15-19 Years","Female",714,
"Otago Region","Middle Eastern/Latin American/African Only","15-19 Years","Male",75,
"Otago Region","Middle Eastern/Latin American/African Only","15-19 Years","Female",78,
"Otago Region","Other Ethnicity Only","15-19 Years","Male",84,
"Otago Region","Other Ethnicity Only","15-19 Years","Female",69,
"Otago Region","European/Maori","15-19 Years","Male",531,
"Otago Region","European/Maori","15-19 Years","Female",624,
"Otago Region","European/Pacific Peoples","15-19 Years","Male",78,
"Otago Region","European/Pacific Peoples","15-19 Years","Female",99,
"Otago Region","European/Asian","15-19 Years","Male",72,
"Otago Region","European/Asian","15-19 Years","Female",87,
"Otago Region","European/Middle Eastern/Latin American/African","15-19 Years","Male",3,
"Otago Region","European/Middle Eastern/Latin American/African","15-19 Years","Female",12,
"Otago Region","European/Other Ethnicity","15-19 Years","Male",12,
"Otago Region","European/Other Ethnicity","15-19 Years","Female",15,
"Otago Region","Maori/Pacific Peoples","15-19 Years","Male",12,
"Otago Region","Maori/Pacific Peoples","15-19 Years","Female",12,
"Otago Region","Maori/Asian","15-19 Years","Male",0,
"Otago Region","Maori/Asian","15-19 Years","Female",3,
"Otago Region","Maori/Middle Eastern/Latin American/African","15-19 Years","Male",0,
"Otago Region","Maori/Middle Eastern/Latin American/African","15-19 Years","Female",0,
"Otago Region","Maori/Other Ethnicity","15-19 Years","Male",0,
"Otago Region","Maori/Other Ethnicity","15-19 Years","Female",0,
"Otago Region","Pacific Peoples/Asian","15-19 Years","Male",6,
"Otago Region","Pacific Peoples/Asian","15-19 Years","Female",3,
"Otago Region","Pacific Peoples/Middle Eastern/Latin American/African","15-19 Years","Male",0,
"Otago Region","Pacific Peoples/Middle Eastern/Latin American/African","15-19 Years","Female",0,
"Otago Region","Pacific Peoples/Other Ethnicity","15-19 Years","Male",0,
"Otago Region","Pacific Peoples/Other Ethnicity","15-19 Years","Female",0,
"Otago Region","Asian/Middle Eastern/Latin American/African","15-19 Years","Male",0,
"Otago Region","Asian/Middle Eastern/Latin American/African","15-19 Years","Female",0,
"Otago Region","Asian/Other Ethnicity","15-19 Years","Male",0,
"Otago Region","Asian/Other Ethnicity","15-19 Years","Female",0,
"Otago Region","Middle Eastern/Latin American/African/Other Ethnicity","15-19 Years","Male",0,
"Otago Region","Middle Eastern/Latin American/African/Other Ethnicity","15-19 Years","Female",0,
"Otago Region","European/Maori/Pacific Peoples","15-19 Years","Male",18,
"Otago Region","European/Maori/Pacific Peoples","15-19 Years","Female",36,
"Otago Region","European/Maori/Asian","15-19 Years","Male",6,
"Otago Region","European/Maori/Asian","15-19 Years","Female",6,
"Otago Region","European/Maori/Middle Eastern/Latin American/African","15-19 Years","Male",6,
"Otago Region","European/Maori/Middle Eastern/Latin American/African","15-19 Years","Female",0,
"Otago Region","European/Maori/Other Ethnicity","15-19 Years","Male",0,
"Otago Region","European/Maori/Other Ethnicity","15-19 Years","Female",0,
"Otago Region","European/Middle Eastern/Latin American/African/Other Ethnicity","15-19 Years","Male",0,
"Otago Region","European/Middle Eastern/Latin American/African/Other Ethnicity","15-19 Years","Female",0,
"Otago Region","Pacific Peoples/European/Asian","15-19 Years","Male",0,
"Otago Region","Pacific Peoples/European/Asian","15-19 Years","Female",3,
"Otago Region","Pacific Peoples/European/Middle Eastern/Latin American/African","15-19 Years","Male",0,
"Otago Region","Pacific Peoples/European/Middle Eastern/Latin American/African","15-19 Years","Female",0,
"Otago Region","Pacific Peoples/European/Other Ethnicity","15-19 Years","Male",0,
"Otago Region","Pacific Peoples/European/Other Ethnicity","15-19 Years","Female",0,
"Otago Region","Asian/Middle Eastern/Latin American/African/European","15-19 Years","Male",3,
"Otago Region","Asian/Middle Eastern/Latin American/African/European","15-19 Years","Female",0,
"Otago Region","Asian/European/Other Ethnicity","15-19 Years","Male",0,
"Otago Region","Asian/European/Other Ethnicity","15-19 Years","Female",0,
"Otago Region","Maori/Pacific Peoples/Asian","15-19 Years","Male",0,
"Otago Region","Maori/Pacific Peoples/Asian","15-19 Years","Female",0,
"Otago Region","Maori/Pacific Peoples/Middle Eastern/Latin American/African","15-19 Years","Male",0,
"Otago Region","Maori/Pacific Peoples/Middle Eastern/Latin American/African","15-19 Years","Female",0,
"Otago Region","Maori/Asian/Middle Eastern/Latin American/African","15-19 Years","Male",0,
"Otago Region","Maori/Asian/Middle Eastern/Latin American/African","15-19 Years","Female",0,
"Otago Region","Maori/Asian/Other Ethnicity","15-19 Years","Male",0,
"Otago Region","Maori/Asian/Other Ethnicity","15-19 Years","Female",0,
"Otago Region","Maori/Middle Eastern/Latin American/African/Other Ethnicity","15-19 Years","Male",0,
"Otago Region","Maori/Middle Eastern/Latin American/African/Other Ethnicity","15-19 Years","Female",0,
"Otago Region","Pacific Peoples/Maori/Other Ethnicity","15-19 Years","Male",0,
"Otago Region","Pacific Peoples/Maori/Other Ethnicity","15-19 Years","Female",0,
"Otago Region","Pacific Peoples/Middle Eastern/Latin American/African/Other Ethnicity","15-19 Years","Male",0,
"Otago Region","Pacific Peoples/Middle Eastern/Latin American/African/Other Ethnicity","15-19 Years","Female",0,
"Otago Region","Asian/Pacific Peoples/Middle Eastern/Latin American/African","15-19 Years","Male",0,
"Otago Region","Asian/Pacific Peoples/Middle Eastern/Latin American/African","15-19 Years","Female",0,
"Otago Region","Asian/Pacific Peoples/Other Ethnicity","15-19 Years","Male",0,
"Otago Region","Asian/Pacific Peoples/Other Ethnicity","15-19 Years","Female",0,
"Otago Region","Asian/Middle Eastern/Latin American/African/Other Ethnicity","15-19 Years","Male",0,
"Otago Region","Asian/Middle Eastern/Latin American/African/Other Ethnicity","15-19 Years","Female",0,
"Otago Region","Four ethnic groups","15-19 Years","Male",3,
"Otago Region","Four ethnic groups","15-19 Years","Female",3,
"Otago Region","Five ethnic groups","15-19 Years","Male",0,
"Otago Region","Five ethnic groups","15-19 Years","Female",0,
"Otago Region","Six ethnic groups","15-19 Years","Male",0,
"Otago Region","Six ethnic groups","15-19 Years","Female",0,
"Otago Region","Not Elsewhere Included","15-19 Years","Male",384,
"Otago Region","Not Elsewhere Included","15-19 Years","Female",411,
"Southland Region","European Only","15-19 Years","Male",2178,
"Southland Region","European Only","15-19 Years","Female",2031,
"Southland Region","Maori Only","15-19 Years","Male",246,
"Southland Region","Maori Only","15-19 Years","Female",186,
"Southland Region","Pacific Peoples Only","15-19 Years","Male",45,
"Southland Region","Pacific Peoples Only","15-19 Years","Female",36,
"Southland Region","Asian Only","15-19 Years","Male",90,
"Southland Region","Asian Only","15-19 Years","Female",72,
"Southland Region","Middle Eastern/Latin American/African Only","15-19 Years","Male",9,
"Southland Region","Middle Eastern/Latin American/African Only","15-19 Years","Female",3,
"Southland Region","Other Ethnicity Only","15-19 Years","Male",36,
"Southland Region","Other Ethnicity Only","15-19 Years","Female",30,
"Southland Region","European/Maori","15-19 Years","Male",318,
"Southland Region","European/Maori","15-19 Years","Female",294,
"Southland Region","European/Pacific Peoples","15-19 Years","Male",18,
"Southland Region","European/Pacific Peoples","15-19 Years","Female",24,
"Southland Region","European/Asian","15-19 Years","Male",9,
"Southland Region","European/Asian","15-19 Years","Female",9,
"Southland Region","European/Middle Eastern/Latin American/African","15-19 Years","Male",3,
"Southland Region","European/Middle Eastern/Latin American/African","15-19 Years","Female",0,
"Southland Region","European/Other Ethnicity","15-19 Years","Male",0,
"Southland Region","European/Other Ethnicity","15-19 Years","Female",6,
"Southland Region","Maori/Pacific Peoples","15-19 Years","Male",12,
"Southland Region","Maori/Pacific Peoples","15-19 Years","Female",9,
"Southland Region","Maori/Asian","15-19 Years","Male",0,
"Southland Region","Maori/Asian","15-19 Years","Female",0,
"Southland Region","Maori/Middle Eastern/Latin American/African","15-19 Years","Male",0,
"Southland Region","Maori/Middle Eastern/Latin American/African","15-19 Years","Female",0,
"Southland Region","Maori/Other Ethnicity","15-19 Years","Male",0,
"Southland Region","Maori/Other Ethnicity","15-19 Years","Female",0,
"Southland Region","Pacific Peoples/Asian","15-19 Years","Male",3,
"Southland Region","Pacific Peoples/Asian","15-19 Years","Female",0,
"Southland Region","Pacific Peoples/Middle Eastern/Latin American/African","15-19 Years","Male",0,
"Southland Region","Pacific Peoples/Middle Eastern/Latin American/African","15-19 Years","Female",0,
"Southland Region","Pacific Peoples/Other Ethnicity","15-19 Years","Male",0,
"Southland Region","Pacific Peoples/Other Ethnicity","15-19 Years","Female",0,
"Southland Region","Asian/Middle Eastern/Latin American/African","15-19 Years","Male",0,
"Southland Region","Asian/Middle Eastern/Latin American/African","15-19 Years","Female",0,
"Southland Region","Asian/Other Ethnicity","15-19 Years","Male",0,
"Southland Region","Asian/Other Ethnicity","15-19 Years","Female",0,
"Southland Region","Middle Eastern/Latin American/African/Other Ethnicity","15-19 Years","Male",0,
"Southland Region","Middle Eastern/Latin American/African/Other Ethnicity","15-19 Years","Female",0,
"Southland Region","European/Maori/Pacific Peoples","15-19 Years","Male",9,
"Southland Region","European/Maori/Pacific Peoples","15-19 Years","Female",9,
"Southland Region","European/Maori/Asian","15-19 Years","Male",3,
"Southland Region","European/Maori/Asian","15-19 Years","Female",0,
"Southland Region","European/Maori/Middle Eastern/Latin American/African","15-19 Years","Male",0,
"Southland Region","European/Maori/Middle Eastern/Latin American/African","15-19 Years","Female",0,
"Southland Region","European/Maori/Other Ethnicity","15-19 Years","Male",3,
"Southland Region","European/Maori/Other Ethnicity","15-19 Years","Female",3,
"Southland Region","European/Middle Eastern/Latin American/African/Other Ethnicity","15-19 Years","Male",0,
"Southland Region","European/Middle Eastern/Latin American/African/Other Ethnicity","15-19 Years","Female",0,
"Southland Region","Pacific Peoples/European/Asian","15-19 Years","Male",3,
"Southland Region","Pacific Peoples/European/Asian","15-19 Years","Female",0,
"Southland Region","Pacific Peoples/European/Middle Eastern/Latin American/African","15-19 Years","Male",0,
"Southland Region","Pacific Peoples/European/Middle Eastern/Latin American/African","15-19 Years","Female",0,
"Southland Region","Pacific Peoples/European/Other Ethnicity","15-19 Years","Male",0,
"Southland Region","Pacific Peoples/European/Other Ethnicity","15-19 Years","Female",0,
"Southland Region","Asian/Middle Eastern/Latin American/African/European","15-19 Years","Male",0,
"Southland Region","Asian/Middle Eastern/Latin American/African/European","15-19 Years","Female",0,
"Southland Region","Asian/European/Other Ethnicity","15-19 Years","Male",0,
"Southland Region","Asian/European/Other Ethnicity","15-19 Years","Female",0,
"Southland Region","Maori/Pacific Peoples/Asian","15-19 Years","Male",0,
"Southland Region","Maori/Pacific Peoples/Asian","15-19 Years","Female",0,
"Southland Region","Maori/Pacific Peoples/Middle Eastern/Latin American/African","15-19 Years","Male",0,
"Southland Region","Maori/Pacific Peoples/Middle Eastern/Latin American/African","15-19 Years","Female",0,
"Southland Region","Maori/Asian/Middle Eastern/Latin American/African","15-19 Years","Male",0,
"Southland Region","Maori/Asian/Middle Eastern/Latin American/African","15-19 Years","Female",0,
"Southland Region","Maori/Asian/Other Ethnicity","15-19 Years","Male",0,
"Southland Region","Maori/Asian/Other Ethnicity","15-19 Years","Female",0,
"Southland Region","Maori/Middle Eastern/Latin American/African/Other Ethnicity","15-19 Years","Male",0,
"Southland Region","Maori/Middle Eastern/Latin American/African/Other Ethnicity","15-19 Years","Female",0,
"Southland Region","Pacific Peoples/Maori/Other Ethnicity","15-19 Years","Male",0,
"Southland Region","Pacific Peoples/Maori/Other Ethnicity","15-19 Years","Female",0,
"Southland Region","Pacific Peoples/Middle Eastern/Latin American/African/Other Ethnicity","15-19 Years","Male",0,
"Southland Region","Pacific Peoples/Middle Eastern/Latin American/African/Other Ethnicity","15-19 Years","Female",0,
"Southland Region","Asian/Pacific Peoples/Middle Eastern/Latin American/African","15-19 Years","Male",0,
"Southland Region","Asian/Pacific Peoples/Middle Eastern/Latin American/African","15-19 Years","Female",0,
"Southland Region","Asian/Pacific Peoples/Other Ethnicity","15-19 Years","Male",0,
"Southland Region","Asian/Pacific Peoples/Other Ethnicity","15-19 Years","Female",0,
"Southland Region","Asian/Middle Eastern/Latin American/African/Other Ethnicity","15-19 Years","Male",0,
"Southland Region","Asian/Middle Eastern/Latin American/African/Other Ethnicity","15-19 Years","Female",0,
"Southland Region","Four ethnic groups","15-19 Years","Male",6,
"Southland Region","Four ethnic groups","15-19 Years","Female",0,
"Southland Region","Five ethnic groups","15-19 Years","Male",3,
"Southland Region","Five ethnic groups","15-19 Years","Female",0,
"Southland Region","Six ethnic groups","15-19 Years","Male",0,
"Southland Region","Six ethnic groups","15-19 Years","Female",0,
"Southland Region","Not Elsewhere Included","15-19 Years","Male",132,
"Southland Region","Not Elsewhere Included","15-19 Years","Female",126,
"Total, Regional Council Areas","European Only","15-19 Years","Male",78864,
"Total, Regional Council Areas","European Only","15-19 Years","Female",75444,
"Total, Regional Council Areas","Maori Only","15-19 Years","Male",12864,
"Total, Regional Council Areas","Maori Only","15-19 Years","Female",11550,
"Total, Regional Council Areas","Pacific Peoples Only","15-19 Years","Male",9636,
"Total, Regional Council Areas","Pacific Peoples Only","15-19 Years","Female",9768,
"Total, Regional Council Areas","Asian Only","15-19 Years","Male",16908,
"Total, Regional Council Areas","Asian Only","15-19 Years","Female",15627,
"Total, Regional Council Areas","Middle Eastern/Latin American/African Only","15-19 Years","Male",1590,
"Total, Regional Council Areas","Middle Eastern/Latin American/African Only","15-19 Years","Female",1494,
"Total, Regional Council Areas","Other Ethnicity Only","15-19 Years","Male",1275,
"Total, Regional Council Areas","Other Ethnicity Only","15-19 Years","Female",891,
"Total, Regional Council Areas","European/Maori","15-19 Years","Male",13152,
"Total, Regional Council Areas","European/Maori","15-19 Years","Female",13773,
"Total, Regional Council Areas","European/Pacific Peoples","15-19 Years","Male",2250,
"Total, Regional Council Areas","European/Pacific Peoples","15-19 Years","Female",2214,
"Total, Regional Council Areas","European/Asian","15-19 Years","Male",1158,
"Total, Regional Council Areas","European/Asian","15-19 Years","Female",1218,
"Total, Regional Council Areas","European/Middle Eastern/Latin American/African","15-19 Years","Male",195,
"Total, Regional Council Areas","European/Middle Eastern/Latin American/African","15-19 Years","Female",174,
"Total, Regional Council Areas","European/Other Ethnicity","15-19 Years","Male",156,
"Total, Regional Council Areas","European/Other Ethnicity","15-19 Years","Female",108,
"Total, Regional Council Areas","Maori/Pacific Peoples","15-19 Years","Male",1524,
"Total, Regional Council Areas","Maori/Pacific Peoples","15-19 Years","Female",1431,
"Total, Regional Council Areas","Maori/Asian","15-19 Years","Male",123,
"Total, Regional Council Areas","Maori/Asian","15-19 Years","Female",141,
"Total, Regional Council Areas","Maori/Middle Eastern/Latin American/African","15-19 Years","Male",24,
"Total, Regional Council Areas","Maori/Middle Eastern/Latin American/African","15-19 Years","Female",21,
"Total, Regional Council Areas","Maori/Other Ethnicity","15-19 Years","Male",18,
"Total, Regional Council Areas","Maori/Other Ethnicity","15-19 Years","Female",24,
"Total, Regional Council Areas","Pacific Peoples/Asian","15-19 Years","Male",300,
"Total, Regional Council Areas","Pacific Peoples/Asian","15-19 Years","Female",255,
"Total, Regional Council Areas","Pacific Peoples/Middle Eastern/Latin American/African","15-19 Years","Male",15,
"Total, Regional Council Areas","Pacific Peoples/Middle Eastern/Latin American/African","15-19 Years","Female",9,
"Total, Regional Council Areas","Pacific Peoples/Other Ethnicity","15-19 Years","Male",12,
"Total, Regional Council Areas","Pacific Peoples/Other Ethnicity","15-19 Years","Female",24,
"Total, Regional Council Areas","Asian/Middle Eastern/Latin American/African","15-19 Years","Male",18,
"Total, Regional Council Areas","Asian/Middle Eastern/Latin American/African","15-19 Years","Female",18,
"Total, Regional Council Areas","Asian/Other Ethnicity","15-19 Years","Male",78,
"Total, Regional Council Areas","Asian/Other Ethnicity","15-19 Years","Female",63,
"Total, Regional Council Areas","Middle Eastern/Latin American/African/Other Ethnicity","15-19 Years","Male",12,
"Total, Regional Council Areas","Middle Eastern/Latin American/African/Other Ethnicity","15-19 Years","Female",3,
"Total, Regional Council Areas","European/Maori/Pacific Peoples","15-19 Years","Male",1440,
"Total, Regional Council Areas","European/Maori/Pacific Peoples","15-19 Years","Female",1467,
"Total, Regional Council Areas","European/Maori/Asian","15-19 Years","Male",252,
"Total, Regional Council Areas","European/Maori/Asian","15-19 Years","Female",273,
"Total, Regional Council Areas","European/Maori/Middle Eastern/Latin American/African","15-19 Years","Male",51,
"Total, Regional Council Areas","European/Maori/Middle Eastern/Latin American/African","15-19 Years","Female",30,
"Total, Regional Council Areas","European/Maori/Other Ethnicity","15-19 Years","Male",54,
"Total, Regional Council Areas","European/Maori/Other Ethnicity","15-19 Years","Female",33,
"Total, Regional Council Areas","European/Middle Eastern/Latin American/African/Other Ethnicity","15-19 Years","Male",3,
"Total, Regional Council Areas","European/Middle Eastern/Latin American/African/Other Ethnicity","15-19 Years","Female",6,
"Total, Regional Council Areas","Pacific Peoples/European/Asian","15-19 Years","Male",108,
"Total, Regional Council Areas","Pacific Peoples/European/Asian","15-19 Years","Female",123,
"Total, Regional Council Areas","Pacific Peoples/European/Middle Eastern/Latin American/African","15-19 Years","Male",6,
"Total, Regional Council Areas","Pacific Peoples/European/Middle Eastern/Latin American/African","15-19 Years","Female",15,
"Total, Regional Council Areas","Pacific Peoples/European/Other Ethnicity","15-19 Years","Male",0,
"Total, Regional Council Areas","Pacific Peoples/European/Other Ethnicity","15-19 Years","Female",6,
"Total, Regional Council Areas","Asian/Middle Eastern/Latin American/African/European","15-19 Years","Male",12,
"Total, Regional Council Areas","Asian/Middle Eastern/Latin American/African/European","15-19 Years","Female",3,
"Total, Regional Council Areas","Asian/European/Other Ethnicity","15-19 Years","Male",9,
"Total, Regional Council Areas","Asian/European/Other Ethnicity","15-19 Years","Female",9,
"Total, Regional Council Areas","Maori/Pacific Peoples/Asian","15-19 Years","Male",60,
"Total, Regional Council Areas","Maori/Pacific Peoples/Asian","15-19 Years","Female",51,
"Total, Regional Council Areas","Maori/Pacific Peoples/Middle Eastern/Latin American/African","15-19 Years","Male",6,
"Total, Regional Council Areas","Maori/Pacific Peoples/Middle Eastern/Latin American/African","15-19 Years","Female",6,
"Total, Regional Council Areas","Maori/Asian/Middle Eastern/Latin American/African","15-19 Years","Male",0,
